type,nb_photo,prix,code.postal,transport.0,transport.1,transport.2,nb_pieces,nb_chambres,surface,lat,lon,url,Latitude_transport.0,Longitude_transport.0,Latitude_transport.1,Longitude_transport.1,Latitude_transport.2,Longitude_transport.2,distance_station_0,distance_station_1,distance_station_2,Cathédrale Notre-Dame de Paris,Basilique du Sacré-Cœur de Montmartre,Musée du Louvre,Tour Eiffel,Centre Pompidou,Musée d’Orsay,Cité des sciences et de l’industrie,Chapelle Notre-Dame de la Médaille miraculeuse,Grand site du Jardin des plantes,Arc de triomphe,Grand Palais,distance_université_plus_près
appartement,14,530000,75013,OLYMPIADES,TOLBIAC,MAISON BLANCHE,3,2,73,48.825964,2.364464,/annonces/appartement-paris-13e-75013-r429601072,48.827035169,2.3670112583266665,48.8261594539,2.35701946619,48.8243748794,2.37706873852,221.51226687227134,546.0202500574326,940.5636255722513,3190.758297670219,6952.681698224622,4369.288497438587,6260.985154142374,3953.5618870822136,4689.18206628057,7957.286207619965,4115.0748399953345,2438.748112377173,7361.764158285328,5888.0931306167295,1299.6484820309606
appartement,6,490000,75019,OURCQ,LAUMIERE,PORTE DE PANTIN - PARC DE LA VILLETTE,3,2,53,48.885173,2.383916,/annonces/appartement-paris-19e-75019-r430400344,48.88710051566667,2.3869200815333333,48.884619840566664,2.379690602,48.888820569299995,2.39572124193,307.2367531954436,315.3724678150555,954.7621140725254,4358.279397242227,2999.410415303545,4294.377829479387,7200.014159598168,3575.949234096702,5052.327252201592,1214.5427750862398,5877.849103540242,4875.54514307848,6629.17250106619,5659.552402017869,4927.890042972441
appartement,10,555000,75015,PASTEUR,VOLONTAIRES,SEVRES - LECOURBE,3,2,47,48.840571,2.312921,/annonces/appartement-paris-15e-75015-r430400693,48.8420128041,2.31329004384,48.840390623800005,2.31395824288,48.84484774345,2.3103746950049997,162.7623528205827,78.60236554381086,511.3289155113839,3048.3597604071815,5598.830614437328,2937.4829721641145,2387.171704932266,3655.3499830914143,2374.8395823229966,8242.450290722323,1358.3251876549527,2990.9045680824847,3921.902612312404,2849.1579173922287,2338.1723185876963
chambre,10,119000,75015,PASTEUR,FALGUIERE,VOLONTAIRES,1,0,8,48.840493,2.314787,/annonces/appartement-paris-15e-r429501039,48.8420128041,2.31329004384,48.8414184427,2.30799364939,48.8414184427,2.30799364939,201.622280629135,508.26539362855635,508.26539362855635,2931.327863597474,5554.522596580896,2860.8730390840988,2473.9563754965498,3553.4503383062647,2328.6143379339073,8158.525651327954,1297.4177287568577,2859.7020660075323,3977.725367022641,2863.5473107105086,2226.430980467619
appartement,11,608000,75019,PELLEPORT - BELLEVILLE,HOPITAL ROBERT DEBRE,PORTE DES LILAS,3,2,57,48.875713,2.400213,/annonces/appartement-paris-19e-75019-r430400561,48.875504504,2.39860836554,48.879370763766666,2.4010338420466666,48.876938470249996,2.407865150355,119.7530137851031,411.59118265541935,576.6093014358788,4462.529128678147,4365.508239705671,4833.586078860019,7981.191286537128,3879.848751238314,5671.092628267761,2403.8313560666325,6300.702970795064,4762.303466002491,7703.522059607528,6529.886389419491,5136.622876052952
studio,2,140000,75013,PLACE D'ITALIE,CORVISART,LES GOBELINS,1,0,13,48.831744,2.352437,/annonces/appartement-paris-13e-75013-r430400297,48.83127744157143,2.355938173597143,48.8298632521,2.35062272793,48.836680852142855,2.351791474597143,261.7662954462391,248.00982794943354,551.5996823639157,2372.933470089646,6168.169598628022,3439.16181199899,5169.968312813488,3211.3235690449415,3663.8418775022,7585.749504331929,3032.4592206118964,1639.4512226116121,6290.71926448118,4832.886268586143,1802.5530883269887
studio,4,270000,75017,PLACE DE CLICHY,LA FOURCHE,BLANCHE,1,0,17,48.884015,2.326341,/annonces/appartement-paris-17e-75017-r430400316,48.883118616349996,2.3272234572712502,48.88781247984,2.32544712131,48.883484736039996,2.33280405126,118.86958811560879,427.76732560633246,476.7794920234268,3862.8439081500464,1259.4765794304137,2685.5881749004006,3695.3503536900744,3234.218464911722,2682.535326482142,4696.674381482502,3700.9947136925935,4605.234193202478,2559.3787749417074,2240.190054006114,3696.763497605391
appartement,8,270000,75017,PLACE DE CLICHY,LA FOURCHE,ROME,2,1,38,48.885258,2.325458,/annonces/appartement-paris-17e-r427800364,48.883118616349996,2.3272234572712502,48.88781247984,2.32544712131,48.8820708339,2.32039833931,270.96024976898593,284.36450997129737,512.8938702586576,4015.5079762788473,1296.6774811143403,2837.394709292435,3764.405572729466,3384.140516489504,2822.0489990753053,4722.616861595225,3835.3902018945505,4757.955893621025,2567.617631010378,2336.2612097568417,3738.7460981258328
appartement,14,690000,75019,PLACE DES FETES,JOURDAIN,BOTZARIS,2,1,50,48.877188,2.390606,/annonces/appartement-paris-19e-r428700517,48.87718327565,2.393248718535,48.87440718788,2.389086064464,48.8794332474,2.3896152440033336,193.47962008252165,328.95276100517816,260.2518694800188,4011.5057424356573,3644.68090002957,4243.92391436849,7346.170060918011,3348.0386114605217,5066.96107375055,2075.459721741924,5758.917442438378,4402.16775624033,7007.310407326203,5869.011813297773,4657.086400607588
appartement,2,1030000,75005,PLACE MONGE (JARDIN DES PLANTES),JUSSIEU,CARDINAL LEMOINE,3,2,67,48.843646,2.352927,/annonces/appartement-paris-5e-75005-r430000108,48.8431646928,2.35211036242,48.8461392273,2.354585033306667,48.846553052999994,2.3515734426900003,80.31249326396863,302.96072242440795,338.4630979882413,1063.1289787741111,4859.043915633346,2233.0843207534604,4578.636934335626,1886.6892506278082,2646.660228273964,6342.787292805738,2339.312366837543,314.6335543332093,5406.282122493606,3894.92686293399,745.5210012218786
appartement,9,705000,75014,PLAISANCE,PERNETY,DIDOT,3,2,61,48.831352,2.315964,/annonces/appartement-paris-14e-r427800027,48.83200955073333,2.3129043957733333,48.833760761375004,2.3177354173925,48.826017873366666,2.3132747422466666,235.85008886594565,297.90849034634465,625.6425324270176,3467.757019277248,6483.222289505318,3689.669679947395,3383.0816276443597,4212.906356000132,3273.710224964472,8899.698999988304,2229.0201553452735,3177.50879729681,4965.481309130325,3884.631774483992,2697.320124117129
